stop_id,Current Cleaning Category,abc_stop_name
6309,A,Dillard St at E Main St (Urban Ministri
6493,A,Willard St at Blackwell St (EB)
6694,A,Jackson St at Duke St (WB)
6305,A,Chapel Hill St at Main St
6382,A,E Main St at Roxboro St (EB)
6663,B,Fayetteville Rd at Hillside High School
6306,B,E Main St at Corcoran St (EB)
5162,B,Willard St at Yancey St (Ramada Inn)
5063,B,NC 54 at Residence Inn Blvd (WB)
6307,B,E Main St at Mangum St (EB)
5420,B,E Main St at Corcoran St (WB)
5019,B,Club Blvd at Chandlers Garage
1892,B,Fayetteville Rd at Renaissance Pkwy
5599,B,Riddle Rd at Fayetteville Rd
6447,B,Cornwallis Rd at Laurel Oaks (NB)
6308,B,Chapel Hill St at Rigsbee Ave
5805,B,Fayetteville St at Red Oak Ave (SB)
5363,B,NC 54 at Fayetteville Rd (EB)
5113,B,Blackwell St at Forest Hills Apts (SB)
1558,B,Slater Rd at Creekstone Dr (Duke Medicine)
6169,B,LaSalle St at Duke Manor Apts (NB)
5305,B,E Main St at Mangum St (WB)
6138,B,Hearthside St at Bacon St
6000,B,NC 54 at Pine Glen Trail (WB)
5531,B,Erwin Rd at LaSalle St (WB)
790001,B,DUKE ST AT HOLT SCHOOL RD
5115,B,Alston Ave at Dayton St (SB)
1866,C,NC 54 at Triangle Dr (EB)
5648,C,LaSalle St at Campus Walk Ave (Belmont
790005,C,DANUBE LN AT BEN FRANKLIN BL
5228,C,Fulton St at Erwin Rd (VA Hospital)
1805,C,NC 54 at Amhurst St
6595,C,Alston Ave at Riddle Rd (SB)
6475,C,Fayetteville Rd at Geneva Dr (Southpoin
5131,C,NC 54 at Seasons of Southpoint (EB)
5110,C,Fayetteville Rd at Wortley Dr
1160,C,NC 54 at Blanchard Rd (EB)
5786,C,LaSalle St at Hillsborough Rd (NB)
789985,C,HILLANDALE RD AT BERTLAND AV
6139,C,Hearthside St at Welch Pl
5207,C,LaSalle St at Grace Healthcare
5020,C,Fayetteville Rd at Laurel Springs Dr
1893,C,NC 54 at The Hamptons Apts (EB)
5211,C,Fulton St at Shirley St
5960,C,Gary St at N Miami Blvd (NB)
1781,C,NC 54 at Revere Rd (EB)
1161,C,NC 54 at Residence Inn Blvd (EB)
6073,C,Gary St at N Miami Blvd (SB)
