Stop Code,Stop Name,Latitude,Longitude,Current Cleaning Category,abc_stop_name
1072,Old Chapel Hill Rd at Garrett Rd (EB),35.949715,-78.967443,C,Old Chapel Hill Rd at Garrett Rd (EB)
1074,University Dr at American Red Cross,35.952773,-78.966079,C,University Dr at American Red Cross
1075,University Dr at Ivy Creek Blvd,35.959253,-78.964615,B,University Dr at Ivy Creek Blvd
1105,Erwin Rd at Fulton St (VA Hospital),36.008327,-78.937789,,
1406,Renaissance Pkwy at Southpoint Mall (WB),35.9036647,-78.9466721,A,Renaissance Pkwy at Southpoint Mall
1553,Erwin Rd at Towerview Rd,36.003799,-78.950504,B,Erwin Rd at Towerview Rd
1732,Stirrup Creek at Twin Creek Ct,35.917372,-78.842734,C,Stirrup Creek at Twin Creek Ct
1804,Renaissance Pkwy at NC 751 (WB),35.9011893,-78.9589826,C,Renaissance Pkwy at Leonardo Dr (WB)
1901,McFarland Dr at Witherspoon Blvd (Patterson Place Park-and-Ride),35.950633,-78.989974,A,McFarland Dr at Witherspoon Blvd (Patte
1914,University Dr at University Pl (EB),35.95649,-78.965978,C,University Dr at University Pl (EB)
1927,Erwin Rd at Emergency Dr (EB),36.007959,-78.935469,,
5002,Riddle Rd at Ancroft Ave (NB),35.95263,-78.89703,C,Riddle Rd at Ancroft Ave (NB)
5003,Alston Ave at Main St (NB),35.98763,-78.88766,,
5004,Alston Ave at Main St (SB),35.98709,-78.88828,B,Alston Ave at Main St
5005,Cornwallis Rd at Industry Ln,35.94235,-78.8996,C,Cornwallis Rd at Industry Ln
5006,Alston Ave at Linwood Ave (NB),35.9799408,-78.8914218,C,Alston Ave at Durham Freeway (NB)
5008,S Alston Ave at Massey Ave (NB),35.978154,-78.892187,B,S Alston Ave at Massey Ave (NB)
5010,Durham Station Pettigrew North Platform,35.99624902,-78.90557568,,
5011,Durham Station Pettigrew South Platform,35.99650291,-78.90615772,,
5012,Durham Station Parking Deck Platform,35.99584322,-78.90520554,,
5017,Chapel Hill Rd at McGehee St (NB),35.981294,-78.934076,C,Chapel Hill Rd at McGehee St (NB)
5018,Morehead Ave at Vickers Ave (WB),35.991663,-78.911791,C,Morehead Ave at Vickers Ave (WB)
5021,Chapel Hill Rd at W Cornwallis Rd (SB1),35.975344,-78.936845,C,Chapel Hill Rd at W Cornwallis Rd (SB1)
5023,Avondale Dr at E Markham Ave (SB),36.008351,-78.885933,C,Avondale Dr at E Markham Ave (SB)
5027,Club Blvd at Gregson St,36.016838,-78.908686,C,Club Blvd at Gregson St
5030,Duke St at Main St,35.999745,-78.90788,C,Duke St at Main St
5031,Carver St at Guess Rd,36.03778,-78.93043,C,Carver St at Guess Rd
5032,Roxboro Rd at Lavender Rd,36.02323,-78.889966,C,Roxboro Rd at Hammond St
5033,Roxboro Rd at Bush Dr,36.07577,-78.90968,A,Roxboro Rd at Bush Dr
5035,Angier Ave at Pleasant Dr,35.96362,-78.85662,C,Angier Ave at Pleasant Dr
5039,Fayetteville St at Piedmont Ave (SB),35.984326,-78.899178,A,Fayetteville St at Piedmont Ave (SB)
5042,University Dr at Weymouth St (WB),35.96702,-78.94998,B,University Dr at Weymouth St (WB)
5043,Holloway St at Adams St (EB),35.98868,-78.85199,B,Holloway St at Adams St (EB)
5044,Duke St at Harper Pl,36.006837,-78.905495,C,Duke St at Harper Pl
5045,Roxboro Rd at Edgewood Dr,36.02775,-78.89,C,Roxboro Rd at Edgewood Dr
5047,Roxboro Rd at Markham Ave (south),36.009347,-78.891827,C,Roxboro Rd at Markham Ave (south)
5048,Chapel Hill Rd at Pinecrest Rd,35.97935,-78.9352,C,Chapel Hill Rd at Pinecrest Rd
5054,University Dr at Larchmont Dr,35.960943,-78.962345,C,University Dr at Larchmont Dr
5055,Gregson St at Englewood Ave,36.01513,-78.90835,C,Gregson St at Englewood Ave
5056,Lawson St at Sima Ave (EB),35.97451,-78.89105,C,Lawson St at Sima Ave (EB)
5057,Angier Ave at Driver St (EB),35.9821,-78.87797,C,Angier Ave at Driver St (EB)
5060,Dearborn Dr at Ruth St,36.037333,-78.871642,C,Dearborn Dr at Ruth St
5064,Otis St at Red Oak Ave,35.970147,-78.909488,C,Otis St at Red Oak Ave
5067,Geer St at Mangum St,36.0038914195,-78.8948916823,C,Mangum St at Geer St
5075,Milton Rd at Eno Valley Elementary (SB),36.08612,-78.91153,C,Milton Rd at Eno Valley Elementary (SB)
5078,Trent Dr at Duke Clinics,36.004779,-78.934944,B,Trent Dr at Duke Hospital South (WB)
5080,Fayetteville St at Homeland Ave (NB),35.962229,-78.908606,A,Fayetteville St at Homeland Ave (NB)
5081,Trent Dr at Duke Circle Parking Deck,36.006277,-78.934438,C,Trent Dr at Duke Circle Parking Deck
5084,Old Farm Rd at Roxboro St (JFK Towers),36.065632,-78.904357,B,Old Farm Rd at Roxboro St (JFK Towers)
5088,S Alston Ave at Massey Ave (SB),35.97835,-78.89238,C,S Alston Ave at Massey Ave (SB)
5089,Duke St at Englewood Ave,36.015543,-78.905404,C,Duke St at Englewood Ave
5091,E Club Blvd at Glenbrook Dr (SB),36.02387,-78.87682,B,E Club Blvd at Glenbrook Dr (SB)
5093,University Dr at South Square Mall,35.965545,-78.957312,C,University Dr at South Square Mall
5094,Lakewood Ave at Blackwell St,35.987322,-78.907022,C,Lakewood Ave at Blackwell St
5097,Roxboro Rd at Murray Ave,36.0295,-78.89038,C,Roxboro Rd at Murray Ave
5099,Carver St at Patrick Henry Dr (EB),36.040557,-78.897692,C,Carver St at Patrick Henry Dr (EB)
5100,Weaver St at Weaver St Park,35.963836,-78.91454,C,Weaver St at Weaver St Park
5102,Shirley St at Crest St,36.012625,-78.93977,B,Shirley St at Crest St
5105,Duke Regional Hospital (NB),36.038303,-78.898968,A,Duke Regional Hospital (NB)
5106,Erwin Rd at Research Dr,36.008689,-78.94159,A,Erwin Rd at Research Dr
5111,Lawson St at Merrick St (Pearson Cafeteria),35.9763470379,-78.8996856429,B,Lawson St at Merrick St (Pearson Cafete
5112,Angier Ave at Commonwealth St,35.97067,-78.86345,C,Angier Ave at Commonwealth St
5116,Roxboro St at Duke St (Autozone),36.057,-78.90312,C,Roxboro St at Duke St (Autozone)
5117,Glenbrook Dr at Dubonnet Pl (SB),36.026391,-78.878737,,
5118,Martin Luther King Jr Pkwy at Lake Camp Rd,35.942511,-78.918833,B,Martin Luther King Jr Pkwy at Lake Camp
5119,Roxboro Rd at Ellerbee St (NB),36.0214,-78.8898,B,Roxboro Rd at Ellerbee St (NB)
5121,University Dr at Weymouth St (Near),35.96685,-78.9499,A,University Dr at Weymouth St (Near)
5125,Hillsborough Rd at W Knox St,36.0130466,-78.9316324,C,Hillsborough Rd at W Knox St
5126,Avondale Dr at E Knox St (SB),36.011805,-78.886721,A,Avondale Dr at E Knox St (SB)
5127,Seven Oaks Rd at Riverview Shopping Center,36.067734,-78.90593,A,Seven Oaks Rd at Riverview Shopping Center
5128,Roxboro Rd at Monk Rd (SB),36.05803,-78.90328,C,Roxboro Rd at Monk Rd (SB)
5132,Roxboro Rd at Carver St,36.03955,-78.89922,C,Roxboro Rd at Carver St
5133,University Dr at Westgate Dr (WB),35.964173,-78.959182,A,University Dr at Westgate Dr (WB)
