Stop Code,Stop Name,Latitude,Longitude,Current Cleaning Category,abc_stop_name,cleaning_priority_score,cleaning_priority_level,stop_id,stop_name,selected_image_filename,lattitude,longitude,best_view,bus_stop_visible,bus_stop_visibility_confidence,shelter_present,shelter_number,bench_present,bench_number,trash_can_present,trash_can_number,stop_surface,landing_type,sidewalk_connection,landing_pad,cross_walk,street_lighting,date,notes,final_image_path,inspection_priority_score,inspection_priority_level
5708,Angier Ave at Food Bank CENC (WB),35.9779875,-78.870447,A,Angier Ave at Hoover Rd (WB),100,Very High,5708,Angier Ave at Food Bank CENC (WB),5708_Angier_Ave_at_Food_Bank_CENC_WB_2025-05_ne_heading-92.jpg,35.9779875,-78.870447,ne,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,No,2025-5,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. The westbound side of Angier Ave consists of a gravel and grass shoulder adjacent to the railroad tracks, with no sign, shelter, bench, or trash can present.",final_images/5708_Angier_Ave_at_Food_Bank_CENC_WB_2025-05_ne_heading-92.jpg,103.0,Very High
5819,E Main St at Dillard St (WB),35.991892,-78.895096,A,E Main St at Dillard St (WB),100,Very High,5819,E Main St at Dillard St (WB),5819_E_Main_St_at_Dillard_St_WB_2007-07_n_heading-172.jpg,35.991892,-78.895096,n,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,No,2007-07,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. The environment is residential with grass yards meeting the curb, no sidewalks, and no signs, shelters, benches, or public trash cans.",final_images/5819_E_Main_St_at_Dillard_St_WB_2007-07_n_heading-172.jpg,103.0,Very High
5033,Roxboro Rd at Bush Dr,36.07577,-78.90968,A,Roxboro Rd at Bush Dr,100,Very High,5033,Roxboro Rd at Bush Dr,5033_Roxboro_Rd_at_Bush_Dr_2025-09_sw_heading-118.jpg,36.07577,-78.90968,sw,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,Yes,2025-09,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. The intersection of Roxboro Rd and Bush Dr was fully scanned, showing a gas station, street signs, and utility poles, but no GoDurham bus stop sign, shelter, bench, or trash can is present.",final_images/5033_Roxboro_Rd_at_Bush_Dr_2025-09_sw_heading-118.jpg,95.0,Very High
5415,Duke St at North Duke Crossing,36.049902,-78.905608,A,Duke St at North Duke Crossing,100,Very High,5415,Duke St at North Duke Crossing,5415_Duke_St_at_North_Duke_Crossing_2025-03_ne_heading-152.jpg,36.049902,-78.905608,ne,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,Yes,2025-03,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. The roadside area adjacent to the North Duke Crossing shopping center parking lot consists of a grass shoulder with no sidewalk, bus stop sign, shelter, bench, or trash can.",final_images/5415_Duke_St_at_North_Duke_Crossing_2025-03_ne_heading-152.jpg,95.0,Very High
5451,Olympic Ave at Roxboro Rd,36.036787,-78.896935,A,Olympic Ave at Roxboro Rd,100,Very High,5451,Olympic Ave at Roxboro Rd,5451_Olympic_Ave_at_Roxboro_Rd_2011-08_ne_heading-338.jpg,36.036787,-78.896935,ne,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,Yes,2011-08,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. A thorough 360-degree scan of the environment around Olympic Ave near the Shell gas station reveals no GoDurham bus stop sign, shelter, bench, or trash can. The roadside is unpaved grass with no sidewalk connection.",final_images/5451_Olympic_Ave_at_Roxboro_Rd_2011-08_ne_heading-338.jpg,95.0,Very High
5654,Horton Rd at Roxboro Rd,36.051043,-78.904403,A,Horton Rd at Roxboro Rd,100,Very High,5654,Horton Rd at Roxboro Rd,5654_Horton_Rd_at_Roxboro_Rd_2025-03_ne_heading-239.jpg,36.051043,-78.904403,ne,No,0.3,0.3,0.0,0.3,0.0,0.6,1.0,Grass,Unpaved,No,,Yes,Yes,2025-03,MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. Only a concrete trash can is present on the grass shoulder.,final_images/5654_Horton_Rd_at_Roxboro_Rd_2025-03_ne_heading-239.jpg,95.0,Very High
5896,Roxboro Rd at Old Oxford Rd (SB),36.0351,-78.89282,A,Roxboro Rd at Old Oxford Rd (SB),100,Very High,5896,Roxboro Rd at Old Oxford Rd (SB),5896_Roxboro_Rd_at_Old_Oxford_Rd_SB_2025-09_sw_heading-99.jpg,36.0351,-78.89282,sw,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,Yes,2025-9,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. Checked the southbound side of Roxboro Rd at Old Oxford Rd where the stop should be located; there is only a grass shoulder with no sidewalk, sign, shelter, bench, or trash can.",final_images/5896_Roxboro_Rd_at_Old_Oxford_Rd_SB_2025-09_sw_heading-99.jpg,95.0,Very High
6154,Roxboro St at Cornwallis Rd,35.9656582,-78.9183735,A,Roxboro St at Cornwallis Rd,100,Very High,6154,Roxboro St at Cornwallis Rd,6154_Roxboro_St_at_Cornwallis_Rd_2025-01_ne_heading-200.jpg,35.9656582,-78.9183735,ne,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,Yes,2025-01,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. Checked all directions, no GoDurham sign, shelter, bench, or public trash can is present. Only residential roll-out trash cans are visible on the side of the road.",final_images/6154_Roxboro_St_at_Cornwallis_Rd_2025-01_ne_heading-200.jpg,95.0,Very High
6167,Chapel Hill Rd at Colonial Apts (NB),35.970492,-78.938627,A,Chapel Hill Rd at Colonial Apts (NB),100,Very High,6167,Chapel Hill Rd at Colonial Apts (NB),6167_Chapel_Hill_Rd_at_Colonial_Apts_NB_2025-01_ne_heading-184.jpg,35.970492,-78.938627,ne,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,Yes,Yes,2025-01,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. Checked the east side of Chapel Hill Rd near the Colonial Apartments entrance (NB side) and found no GoDurham bus stop sign, shelter, bench, or trash can. There is a crosswalk and pedestrian sign nearby, but no transit-specific infrastructure.",final_images/6167_Chapel_Hill_Rd_at_Colonial_Apts_NB_2025-01_ne_heading-184.jpg,95.0,Very High
6684,North Pointe Dr at Woodmont Dr (EB),36.030337,-78.926126,A,North Pointe Dr at Woodmont Dr (EB),100,Very High,6684,North Pointe Dr at Woodmont Dr (EB),6684_North_Pointe_Dr_at_Woodmont_Dr_EB_2025-09_e_heading-313.jpg,36.030337,-78.926126,e,No,0.25,0.25,0.0,0.25,0.0,0.25,0.0,Grass,Unpaved,No,,No,Yes,2025-9,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. The roadside has a dirt path on grass next to a wooden fence, but lacks a sign, shelter, bench, or trash can.",final_images/6684_North_Pointe_Dr_at_Woodmont_Dr_EB_2025-09_e_heading-313.jpg,95.0,Very High
