Stop Code,Stop Name_x,Latitude,Longitude,Status,FID,ASSETID,stop_lat,stop_lon,stop_name,Stop_Site,Street_Nam,AADT,AvgWeekday,AvgWeekd_1,Bus_Loadin,Concrete_R,County,Edge_of_Pa,Is_Active_,Is_Active1,Is_Activ_1,Is_Activ_2,Is_Activ_3,Agency,MicroTrans,Shared_Rou,Shelter_QT,Shelter_Ty,ShelterCol,Signal_Typ,Timepoint,ADA,Area_Light,BenchColor,Bike_Lane_,Bike_Parki,Bike_Par_1,Bus_Stop_L,Real_Time_,Seating_QT,Seating_Ty,Site_Shade,Trash_Can_,Waiting_Ar,Crosswalk_,Crosswalk1,Crosswal_1,Landing_Lo,Landing_Ma,Landing_Pa,Landing_Ty,Sidewalk_C,Sidewalk_1,Sidewalk_2,Sidewalk_O,Sidewalk_T,STATUS,LIFECYCLES,ENCROACHME,IMPROVEMEN,DOCUMENTFO,bus_stop_visible_2026,visibility_confidence_2026,stop_surface_2026,landing_type_2026,sidewalk_connection_2026,landing_pad,shelter_n_2026,bench_n_2026,trash_can_n_2026,street_lighting_2026,notes_2026,Stop Name_y,Avg Daily Total On,Avg Daily Total Off,Avg Daily Total Activity,Complaints_n_2026,ridership_score,complaint_score,amenity_score,condition_score,roadway_score,context_score,cleaning_priority_score,recommended_tier,recommended_frequency,recommended_cleaning_level,review_flag,abc_comparison
1072,Old Chapel Hill Rd at Garrett Rd (EB),35.949715,-78.967443,Active,1284.0,STOP10059,35.949715,-78.967443,   Old Chapel Hill Rd at Garrett Rd (EB),Midblock,Old Chapel Hill,20500.0,3.0,5.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,Yes, , , , ,"10, 400",0.0,, ,Traffic_Ped_Crossing, ,No_SidewalkWithStrip,Good, , ,0.0,,Pole,No,0.0,,,,Fair,Fair,Within_Sight,Marked,Curb_Height,Grass_and_Sidewalk,,Unpaved_Grass_Strip_And_Sidewalk,Good,Both,Both,,Concrete, ,, , , ,Yes,1.0,Concrete,Unpaved_Grass_Strip_And_Sidewalk,No,,0.0,0.0,0.0,No,The bus stop sign is located in the grass strip adjacent to a concrete sidewalk. There is no paved connection crossing the grass strip to the curb.,Old Chapel Hill Rd at Garrett Rd (EB),5.1,2.5,7.7,,1,0,0,2,1,0,4,Low,Monthly,Basic,,Needs current A/B/C category
1074,University Dr at American Red Cross,35.952773,-78.966079,Active,1646.0,STOP10060,35.952773,-78.966079,   University Dr at American Red Cross,Far_Side,University Dr,15000.0,1.0,1.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,Yes, , , , ,"10, 400",0.0,, ,Traffic_Ped_Crossing, ,No_SidewalkWithStrip,Good, , ,0.0,,,No,0.0,,Trees_Good,,Fair,Fair,Within_Sight,Marked,Curb_Height,Grass_and_Sidewalk,,Unpaved_Grass_Strip_And_Sidewalk,Good,Both,Both,,Concrete, ,, , , ,Yes,0.9,Concrete,Unpaved_Grass_Strip_And_Sidewalk,Yes,,0.0,0.0,0.0,No,"The bus stop sign is visible on a metal post next to the sidewalk, partially behind the parked black car. The boarding area consists of a concrete sidewalk separated from the curb by a grass strip.",University Dr at American Red Cross,0.6,0.6,1.2,,1,0,0,1,0,2,4,Low,Monthly,Basic,,Needs current A/B/C category
1075,University Dr at Ivy Creek Blvd,35.959253,-78.964615,Active,1652.0,STOP10061,35.95925337,-78.96461464,   University Dr at Ivy Creek Blvd,Near_Side,University Dr,15000.0,4.0,15.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,Yes, , , , ,"10, 20, 400",1.0,Techline,Black,Traffic_Ped_Crossing, ,No_SidewalkWithStrip,Good,Black, ,0.0,,Pole,No,3.0,Bench_Permanent,,Concrete,Fair,Fair,Within_100_FT,Marked,Curb_Height,Grass_and_Sidewalk,,Unpaved_Grass_Strip_And_Sidewalk,Good,Both,Both,,Concrete, ,, , , ,Yes,1.0,Concrete,Paved,Yes,Two_doors,1.0,1.0,0.0,Yes,The bus stop features a modern shelter with an integrated bench on a wide concrete landing pad connected directly to the sidewalk. A street light pole is located immediately adjacent to the pad.,University Dr at Ivy Creek Blvd,12.9,4.5,17.4,,2,0,4,0,0,2,8,Medium,Every 2 weeks,"Basic, enhanced as needed",,Needs current A/B/C category
1105,Erwin Rd at Fulton St (VA Hospital),36.008327,-78.937789,Active,530.0,STOP10916,36.00832659,-78.93778915,   Erwin Rd at Fulton St (VA Hospital),Far_Side,Erwin,0.0,0.0,0.0,Traffic_Lane,No,Durham,Curb_and_Gutter,No, ,Yes, , , , ,"H5, 400, 405",1.0,Techline, ,Traffic_Ped_Crossing, , ,Good, , ,0.0,,Shelter,No,3.0,Bench_Permanent,,Concrete,Fair,Fair,Within_100_FT,Marked,Curb_Height,Concrete,Other,Paved,Good,Both,Both,,Concrete, ,, , , ,,,,,,,,,,,,,,,,,0,0,4,0,0,3,7,Medium,Every 2 weeks,"Basic, enhanced as needed",,Needs current A/B/C category
1406,Renaissance Pkwy at Southpoint Mall (WB),35.9036647,-78.9466721,Active,1379.0,STOP10050,35.903605,-78.946715,   Renaissance Pkwy at Southpoint Mall (WB),Midblock,Renaissance,14500.0,128.0,176.0,Bus_Bay,Yes,Durham,Curb_and_Gutter,Yes, ,Yes, , , , ,"5, 12, 800, 800S",2.0,Techline,Black,Traffic_Ped_Crossing,GoDurham and GoTriangle Timepoint,Yes_Two_Doors,Fair,Black, ,0.0,,Pole,No,12.0,Bench_Permanent,,Metal,Fair,Fair,Within_Sight,Marked,Curb_Height,Concrete,Yes_Two_Doors,Paved,Good,Both,Both,,Concrete, ,, , , ,Yes,1.0,Concrete,Paved,Yes,Two_doors,0.0,0.0,0.0,Yes,The bus stop is located at a concrete boarding area where a GoTriangle bus is parked. A bike rack and street light are present near the boarding area.,Renaissance Pkwy at Southpoint Mall (WB),138.3,78.6,216.9,1.0,4,2,4,0,0,3,13,High,Weekly,Enhanced,,Needs current A/B/C category
1553,Erwin Rd at Towerview Rd,36.003799,-78.950504,Active,539.0,STOP10872,36.00379873,-78.95050402,   Erwin Rd at Towerview Rd,Far_Side,Erwin,14500.0,7.0,8.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,Yes, , , , ,"11B, 400, 405",0.0,, ,Traffic_Ped_Crossing, ,No_SidewalkAbuts,Fair, , ,0.0,,,No,0.0,,Trees_Good,Concrete,Fair,Fair,Within_Sight,Marked,Curb_Height,Concrete,Other,Paved,Good,Both,Both,,Concrete, ,, , , ,Yes,0.9,Concrete,Paved,Yes,Two_doors,0.0,0.0,1.0,Yes,"The bus stop is located on a concrete sidewalk, marked by a sign post next to a brown trash can. Street lighting is present nearby.",Erwin Rd at Towerview Rd,8.2,2.1,10.3,,1,0,3,0,0,0,4,Low,Monthly,Basic,,Needs current A/B/C category
1732,Stirrup Creek at Twin Creek Ct,35.917372,-78.842734,Active,1572.0,STOP10053,35.917372,-78.842734,   Stirrup Creek at Twin Creek Ct,Near_Side,Stirrup Creek,0.0,7.0,1.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,2,0.0,, ,, ,,Good, , ,0.0,,,No,0.0,,Trees_Good,,,,,,Curb_Height,Grass,,Unpaved,,,,,, ,, , , ,Yes,1.0,Grass,Unpaved,No,,0.0,0.0,0.0,No,The bus stop sign is located on a metal post in the grass on the right side of the left view image. There is no sidewalk or paved landing pad on this side of the street.,Stirrup Creek at Twin Creek Ct,0.0,2.3,2.3,,1,0,0,4,0,0,5,Low,Monthly,Basic,,Needs current A/B/C category
1804,Renaissance Pkwy at NC 751 (WB),35.9011893,-78.9589826,Active,1375.0,STOP10071,35.90158,-78.95663,   Renaissance Pkwy at Leonardo Dr (WB),Near_Side,Renaissance,14500.0,2.0,1.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,Yes, , , , ,"5, 12, 800, 800S",1.0,Current, ,Traffic_Ped_Crossing, ,Yes_Two_Doors,Fair, , ,0.0,,Shelter,No,2.0,Bench_Permanent,,Metal,Good,Good,Within_100_FT,Marked,Curb_Height,Concrete,Yes_Two_Doors,Paved,Good,Both,Both,,Concrete, ,, , , ,Yes,1.0,Concrete,Paved,Yes,Two_doors,1.0,1.0,1.0,No,"The bus stop features a shelter with an integrated bench, a trash can, and a concrete landing pad that connects directly to the sidewalk.",Renaissance Pkwy at NC 751 (WB),0.0,0.0,0.0,1.0,0,2,7,0,0,0,9,Medium,Every 2 weeks,"Basic, enhanced as needed",,Needs current A/B/C category
1892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fayetteville Rd at Renaissance Pkwy,27.1,86.5,113.6,,4,0,0,0,0,0,4,Low,Monthly,Basic,,Needs current A/B/C category
1901,McFarland Dr at Witherspoon Blvd (Patterson Place Park-and-Ride),35.950633,-78.989974,Active,1051.0,STOP10077,35.95063293,-78.9899745,   McFarland Dr at Witherspoon Blvd (EB),Near_Side,McFarland Dr,0.0,18.0,39.0,Bus_Bay,Yes,Durham,Curb_and_Gutter,Yes, ,Yes, , , , ,"10, 10B, 400",0.0,, ,,GoDurham and GoTriangle Timepoint,No_SidewalkAbuts,Poor, , ,0.0,,Pole,No,0.0,,Trees_Fair,Concrete,Poor,Poor,Within_100_FT,Marked,Curb_Height,Concrete,Other,Paved,Good,Both,Both,,Concrete, ,, , , ,,,,,,,,,,,,McFarland Dr at Witherspoon Blvd (Patter,24.8,14.2,39.0,,3,0,0,0,0,0,3,Low,Monthly,Basic,,Needs current A/B/C category
