Stop Code,Stop Name_x,stop_name,inspection_priority_score,inspection_tier,recommended_inspection_frequency,inspection_level,activity_score,issue_history_score,equipment_score,condition_safety_score,roadway_score,inspection_focus_areas,Avg Daily Total Activity,Complaints_n_2026,Shelter_QT,Seating_QT,Trash_Can_,Area_Light,Real_Time_,AADT
5793,Fayetteville Rd at Crooked Creek Pkwy,   Fayetteville Rd at Crooked Creek Pkwy,19,High,Monthly,Full equipment + safety inspection,3,4,9,1,2,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Landing/sidewalk/access condition; ADA/safety access issues,99.2,6.0,1.0,2.0,Metal,Fair,No,22000.0
6146,Fayetteville St at Pilot St (NB),   Fayetteville St at Pilot St (NB),18,High,Monthly,Full equipment + safety inspection,3,4,10,1,0,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Lighting/bulb outage; Electrical/pole condition; Real-time information sign/display; Landing/sidewalk/access condition; ADA/safety access issues,195.8,7.0,1.0,3.0,Concrete,Fair,Yes,13000.0
6335,Hillsborough Rd at Cole Mill Rd,   Hillsborough Rd at Cole Mill Rd (CVS),18,High,Monthly,Full equipment + safety inspection,1,4,9,2,2,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Landing/sidewalk/access condition; ADA/safety access issues,25.3,4.0,1.0,3.0,Concrete,Good,No,26000.0
5292,Hillsborough Rd at Cole Mill Rd (WB),   Hillsborough Rd at Cole Mill Rd (WB),18,High,Monthly,Full equipment + safety inspection,3,3,10,1,1,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Bike rack/parking condition; Landing/sidewalk/access condition; ADA/safety access issues,79.0,2.0,1.0,2.0,Metal,Fair,No,16000.0
5394,Chapel Hill Rd at Palmer St (EB),   Chapel Hill Rd at Palmer St (EB),17,High,Monthly,Full equipment + safety inspection,3,4,10,0,0,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Bike rack/parking condition,138.4,11.0,2.0,6.0,Concrete,Fair,No,7500.0
6068,Erwin Rd at Downing St (WB),   Erwin Rd at Downing St (WB),17,High,Monthly,Full equipment + safety inspection,3,4,9,1,0,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Landing/sidewalk/access condition; ADA/safety access issues,92.9,21.0,2.0,6.0,Concrete,Good,No,15000.0
6590,Martin Luther King Jr Pkwy at Cook Rd (WB),   Martin Luther King Jr Pkwy at Cook Rd (WB),17,High,Monthly,Full equipment + safety inspection,2,3,8,3,1,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Lighting/bulb outage; Electrical/pole condition; Landing/sidewalk/access condition; ADA/safety access issues,37.0,2.0,1.0,3.0,Concrete,Fair,No,18000.0
6257,Fayetteville St at Cook Rd (Hillside HS),   Fayetteville St at Cook Rd (Hillside HS),17,High,Monthly,Full equipment + safety inspection,3,3,9,1,1,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Landing/sidewalk/access condition; ADA/safety access issues,164.9,2.0,2.0,4.0,Metal,Good,No,16000.0
5897,Club Blvd at Dollar Ave (Northgate Mall),   Club Blvd at Dollar Ave (Northgate Mall),17,High,Monthly,Full equipment + safety inspection,3,2,11,1,0,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Real-time information sign/display; Landing/sidewalk/access condition; ADA/safety access issues,72.4,1.0,1.0,3.0,Concrete,Poor,Yes,7100.0
6291,Glenn View Station at Walmart,   Glenn View Station at Walmart,16,High,Monthly,Full equipment + safety inspection,3,3,10,0,0,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Bike rack/parking condition,636.1,2.0,2.0,6.0,Metal,Fair,No,0.0
5569,Hillsborough Rd at LaSalle St (Durham Festival Center),   Hillsborough Rd at LaSalle St (Durham Festival Center),16,High,Monthly,Full equipment + safety inspection,2,2,9,1,2,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Landing/sidewalk/access condition; ADA/safety access issues,47.7,1.0,1.0,3.0,Concrete,Fair,No,23000.0
5549,Fayetteville St at Linwood Ave (Lincoln Health Center),   Fayetteville St at Linwood Ave,16,High,Monthly,Full equipment + safety inspection,3,3,9,1,0,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Landing/sidewalk/access condition; ADA/safety access issues,73.9,3.0,1.0,3.0,Concrete,Good,No,12500.0
6018,Hillsborough Rd at Lawndale Ave (Food Lion),,16,High,Monthly,Full equipment + safety inspection,2,4,9,1,0,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition,46.0,4.0,,,,,,
5468,Hillsborough Rd at LaSalle St,   Hillsborough Rd at LaSalle St (Auto Zone),16,High,Monthly,Full equipment + safety inspection,3,3,5,3,2,Sign/post condition; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Landing/sidewalk/access condition; ADA/safety access issues,77.6,3.0,0.0,3.0,Metal,Fair,No,23000.0
5654,Horton Rd at Roxboro Rd,   Horton Rd at Roxboro Rd,16,High,Monthly,Full equipment + safety inspection,3,2,8,3,0,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Lighting/bulb outage; Electrical/pole condition; Landing/sidewalk/access condition; ADA/safety access issues,127.4,1.0,1.0,3.0,Concrete,Poor,No,10000.0
5829,Fayetteville St at Pilot St (SB),   Fayetteville St at Pilot St (SB),16,High,Monthly,Full equipment + safety inspection,3,2,9,2,0,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Landing/sidewalk/access condition; ADA/safety access issues,195.4,1.0,1.0,3.0,Concrete,Fair,No,13000.0
5261,University Dr at Westgate Dr (Parkway Plaza Park-and-Ride),   University Dr at Westgate Dr (Parkway Plaza Park-and-Ride),16,High,Monthly,Full equipment + safety inspection,3,0,11,1,1,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Real-time information sign/display; Landing/sidewalk/access condition; ADA/safety access issues,84.2,,1.0,3.0,Concrete,Good,Yes,15500.0
5296,NC 55 at Cornwallis Rd,NC 55 at Cornwallis Rd,15,High,Monthly,Full equipment + safety inspection,1,2,9,2,1,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Landing/sidewalk/access condition; ADA/safety access issues,26.2,1.0,1.0,3.0,Concrete,Good,No,21000.0
5445,Raynor St at The Village (WB),   Raynor St at The Village (WB),15,High,Monthly,Full equipment + safety inspection,3,0,11,1,0,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Real-time information sign/display; Landing/sidewalk/access condition; ADA/safety access issues,383.3,,1.0,3.0,Concrete,Fair,Yes,0.0
6256,Fayetteville St at Cook Rd (SB),   Fayetteville St at Cook Rd (SB),15,High,Monthly,Full equipment + safety inspection,3,0,10,1,1,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Bike rack/parking condition; Landing/sidewalk/access condition; ADA/safety access issues,184.5,,1.0,3.0,Metal,Fair,No,16000.0
6579,NC 54 at Garrett Rd (EB),,15,High,Monthly,Full equipment + safety inspection,3,2,9,1,0,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition,116.3,1.0,,,,,,
6650,Roxboro St at Frasier St,   Roxboro St at Frasier St,15,High,Monthly,Full equipment + safety inspection,2,2,9,1,1,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Landing/sidewalk/access condition; ADA/safety access issues,48.0,1.0,1.0,3.0,Concrete,Good,No,17500.0
5980,University Dr at Martin Luther King Jr Pkwy (WB),   University Dr at Martin Luther King Jr Pkwy (WB),15,High,Monthly,Full equipment + safety inspection,2,2,9,1,1,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Landing/sidewalk/access condition; ADA/safety access issues,36.1,1.0,1.0,3.0,Concrete,Fair,No,15500.0
6658,E Main St at Angier Ave,   E Main St at Angier Ave,15,High,Monthly,Full equipment + safety inspection,3,2,9,1,0,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Lighting/bulb outage; Electrical/pole condition; Bike rack/parking condition; Landing/sidewalk/access condition; ADA/safety access issues,78.3,1.0,1.0,3.0,Metal,Good,No,4900.0
5590,Hillandale Rd at Croasdaile Crossing,   Hillandale Rd at Bertland Ave,15,High,Monthly,Full equipment + safety inspection,2,2,9,0,2,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition,39.3,1.0,1.0,3.0,Concrete,Good,No,26000.0
6665,TW Alexander Dr at Centerpoint (Amazon),   TW Alexander Dr at Center Point (EB),15,High,Monthly,Full equipment + safety inspection,1,0,9,4,1,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Landing/sidewalk/access condition; ADA/safety access issues,17.9,,0.0,0.0,Concrete,,No,21500.0
6272,TW Alexander Dr at Miami Blvd (WB),   TW Alexander Dr at Miami Blvd (WB),14,High,Monthly,Full equipment + safety inspection,3,0,7,2,2,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Landing/sidewalk/access condition; ADA/safety access issues,68.2,,1.0,3.0,Concrete,Poor,No,23500.0
6203,Horton Rd at Guess Rd (Harris Teeter),   Horton at Guess (Willowdaile Apartments),14,High,Monthly,Full equipment + safety inspection,3,4,6,1,0,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Landing/sidewalk/access condition; ADA/safety access issues,293.2,5.0,1.0,3.0,Concrete,Poor,No,7600.0
6226,TW Alexander Dr at Glenwood Ave,   TW Alexander Dr at Glenwood Ave,14,High,Monthly,Full equipment + safety inspection,2,2,9,1,0,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Landing/sidewalk/access condition; ADA/safety access issues,46.7,1.0,1.0,3.0,Concrete,Fair,No,10500.0
6095,Duke Regional Hospital (SB),   Duke Regional Hospital (SB),14,High,Monthly,Full equipment + safety inspection,3,2,9,0,0,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Real-time information sign/display; Bike rack/parking condition,397.1,1.0,1.0,4.0,Concrete,Poor,Yes,0.0
6075,Westgate Dr at South Square (Burger King),   Westgate Dr at South Square (Burger King),14,High,Monthly,Full equipment + safety inspection,1,2,9,2,0,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Landing/sidewalk/access condition; ADA/safety access issues,21.7,1.0,1.0,3.0,Concrete,Fair,No,0.0
5519,University Dr at Hill St (Forest Hills Shopping Center),   University Dr at Hill St (Forest Hills Shopping Center),14,High,Monthly,Full equipment + safety inspection,2,4,8,0,0,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Lighting/bulb outage; Electrical/pole condition,61.0,5.0,1.0,2.0,Metal,Fair,No,13000.0
6473,Chapel Hill Rd at Yates Baptist Church (NB),,14,High,Monthly,Full equipment + safety inspection,1,3,9,1,0,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition,19.2,2.0,,,,,,
5435,NC 55 at Alston Ave (NCCU),NC 55 at Alston Ave (NCCU),14,High,Monthly,Full equipment + safety inspection,2,0,9,1,2,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Landing/sidewalk/access condition; ADA/safety access issues,35.9,,1.0,2.0,Metal,Good,No,22000.0
5084,Old Farm Rd at Roxboro St (JFK Towers),   Old Farm Rd at Roxboro St (JFK Towers),14,High,Monthly,Full equipment + safety inspection,3,0,10,1,0,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Bike rack/parking condition; Landing/sidewalk/access condition; ADA/safety access issues,105.6,,1.0,2.0,Metal,Good,No,0.0
6649,Martin Luther King Jr Pkwy at Lakeside Gardens,   Martin Luther King Jr Pkwy at Lakeside Gardens,14,High,Monthly,Full equipment + safety inspection,1,2,7,3,1,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Landing/sidewalk/access condition; ADA/safety access issues,22.7,1.0,1.0,3.0,Concrete,,No,18000.0
6647,LaSalle St at Kangaroo St,   LaSalle St at Kangaroo St (The Heights Apts),14,High,Monthly,Full equipment + safety inspection,1,3,9,1,0,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Landing/sidewalk/access condition; ADA/safety access issues,18.2,2.0,1.0,3.0,Concrete,Fair,No,0.0
5210,Martin Luther King Jr Pkwy at Shannon Rd (EB),   Martin Luther King Jr Pkwy at Shannon Rd (EB),14,High,Monthly,Full equipment + safety inspection,2,2,9,0,1,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition,43.4,1.0,1.0,2.0,Metal,Good,No,16000.0
6390,Main St at Broad St (WB),   Main St at Broad St (WB),14,High,Monthly,Full equipment + safety inspection,3,3,8,0,0,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Lighting/bulb outage; Electrical/pole condition,132.4,2.0,1.0,2.0,Metal,Good,No,9100.0
6036,University Dr at Martin Luther King Jr Pkwy (EB),   University Dr at Martin Luther King Jr Pkwy (EB),14,High,Monthly,Full equipment + safety inspection,1,2,9,1,1,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Landing/sidewalk/access condition; ADA/safety access issues,30.5,1.0,1.0,3.0,Concrete,Good,No,15500.0
6383,E Main St at Morning Glory Ave (Golden Belt),   E Main St at Morning Glory Ave (Golden Belt),14,High,Monthly,Full equipment + safety inspection,2,2,9,1,0,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Landing/sidewalk/access condition; ADA/safety access issues,63.6,1.0,1.0,2.0,Concrete,Good,No,4900.0
6338,NC 55 at Martin Luther King Jr Pkwy,NC 55 at Martin Luther King Jr Pkwy,14,High,Monthly,Full equipment + safety inspection,1,0,9,3,1,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Landing/sidewalk/access condition; ADA/safety access issues,32.7,,0.0,0.0,,Fair,No,21000.0
6333,American Dr at Constitution Dr,   American Dr at Constitution Dr,14,High,Monthly,Full equipment + safety inspection,3,2,8,1,0,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Bike rack/parking condition; Landing/sidewalk/access condition; ADA/safety access issues,97.4,1.0,1.0,2.0,Metal,Poor,No,0.0
6264,Holloway St at Rummel St,   Holloway St at Rummel St,13,High,Monthly,Full equipment + safety inspection,1,0,9,1,2,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Landing/sidewalk/access condition; ADA/safety access issues,29.7,,1.0,3.0,Concrete,Poor,No,22000.0
6110,North Pointe Dr at Broad St (EB),   North Pointe Dr at Broad St (EB),13,High,Monthly,Full equipment + safety inspection,2,2,7,2,0,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Landing/sidewalk/access condition; ADA/safety access issues,51.9,1.0,1.0,3.0,Concrete,Poor,No,0.0
6486,Hardee St at Landon St (SB),   Hardee St at Landon St (NB),13,High,Monthly,Full equipment + safety inspection,1,0,9,3,0,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Landing/sidewalk/access condition; ADA/safety access issues,19.5,,0.0,3.0,Concrete,Fair,No,5700.0
6109,North Pointe Dr at North Pointe Shopping Center (EB),   North Pointe Dr at North Pointe Shopping Center (EB),13,High,Monthly,Full equipment + safety inspection,3,0,9,1,0,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Landing/sidewalk/access condition; ADA/safety access issues,78.3,,1.0,3.0,Concrete,Poor,No,0.0
6345,Taylor St at Driver St (Holton Career Center),   Taylor St at Driver St (Holton Career Center),13,High,Monthly,Full equipment + safety inspection,0,2,9,2,0,Sign/post condition; Shelter roof/frame/panels; Shelter cleanliness/damage; Loose screws/anchors; Bench/seating condition; Bench anchors/surface damage; Trash can condition/liner/lid; Trash overflow or pests; Lighting/bulb outage; Electrical/pole condition; Landing/sidewalk/access condition; ADA/safety access issues,5.2,1.0,1.0,3.0,Concrete,Fair,No,0.0
